"","Comparison","Df","SumOfSqs","R2","F","Pr(>F)"
"Region...1","1",1,6.28629147747665,0.710178492667374,154.375171980233,0.001
"Residual...2","1",63,2.56541487857736,0.289821507332626,NA,NA
"Total...3","1",64,8.85170635605401,1,NA,NA
"Region...4","2",1,0.0801451765625019,0.0270178570580981,1.19402792941863,0.302
"Residual...5","2",43,2.88623281522867,0.972982142941902,NA,NA
"Total...6","2",44,2.96637799179117,1,NA,NA
"Region...7","3",1,0.245489639374873,0.0568570387338465,1.74825470898705,0.188
"Residual...8","3",29,4.07217524155632,0.943142961266154,NA,NA
"Total...9","3",30,4.31766488093119,1,NA,NA
"Region...10","4",1,4.35207738264161,0.843433258729006,134.676313098506,0.001
"Residual...11","4",25,0.807877287867683,0.156566741270994,NA,NA
"Total...12","4",26,5.15995467050929,1,NA,NA
"Region...13","5",1,2.37866577593772,0.74647218892347,50.0537876212262,0.001
"Residual...14","5",17,0.807877287867683,0.25352781107653,NA,NA
"Total...15","5",18,3.18654306380541,1,NA,NA
"Region...16","6",1,13.2997205744741,0.776144981621548,277.374163775731,0.001
"Residual...17","6",80,3.83589311807066,0.223855018378451,NA,NA
"Total...18","6",81,17.1356136925448,1,NA,NA
"Region...19","7",1,4.6296735880255,0.479683904817778,60.8459703843793,0.001
"Residual...20","7",66,5.02183554439831,0.520316095182222,NA,NA
"Total...21","7",67,9.65150913242381,1,NA,NA
"Region...22","8",1,0.0242971047718746,0.0136360038523709,0.857119929507709,0.26
"Residual...23","8",62,1.75753759070967,0.986363996147629,NA,NA
"Total...24","8",63,1.78183469548155,1,NA,NA
"Region...25","9",1,0.0106800460535712,0.0060400065192887,0.328142333877464,0.413
"Residual...26","9",54,1.75753759070967,0.993959993480711,NA,NA
"Total...27","9",55,1.76821763676324,1,NA,NA
"Region...28","10",1,0.59828728779879,0.100705815977149,5.15122594724926,0.015
"Residual...29","10",46,5.34265348104962,0.899294184022851,NA,NA
"Total...30","10",47,5.94094076884841,1,NA,NA
"Region...31","11",1,7.05345652160833,0.772404916328128,142.538256812929,0.001
"Residual...32","11",42,2.07835552736098,0.227595083671872,NA,NA
"Total...33","11",43,9.13181204896931,1,NA,NA
"Region...34","12",1,3.31572742468767,0.614697151334754,54.2422751811511,0.001
"Residual...35","12",34,2.07835552736098,0.385302848665245,NA,NA
"Total...36","12",35,5.39408295204866,1,NA,NA
"Region...37","13",1,3.13856912949203,0.490181833968811,26.9215423569019,0.001
"Residual...38","13",28,3.26429795368864,0.509818166031189,NA,NA
"Total...39","13",29,6.40286708318067,1,NA,NA
"Region...40","14",1,1.64610269029302,0.335227776639883,10.0854928909473,0.001
"Residual...41","14",20,3.26429795368864,0.664772223360117,NA,NA
"Total...42","14",21,4.91040064398166,1,NA,NA
"Region...43","15",1,0,NA,NA,NA
"Residual...44","15",16,0,NA,NA,NA
"Total...45","15",17,0,NA,NA,NA
